Group,Call,Supported,Difficulty,Notes
async,MPI_File_read_ordered­_end,NO,medium,request handling
async,MPI_File_write_ordered_begin,NO,medium,request handling
async,MPI_File_write_ordered_end,NO,medium,request handling
file,MPI_File_get_type_extent,NO,?,
file,MPI_File_set_atomicity,NO,easy,file translation
file,MPI_File_get_atomicity,NO,easy,file translation
file,MPI_File_sync,NO,easy,file translation
general,MPI_Finalize,-,,
general,MPI_Finalized,-,,
osc,MPI_Free_mem,-,,
collective,MPI_Gather,YES,,
async,MPI_Igather,NO,medium,request handling
collective,MPI_Gatherv,NO,hard,complex to translate counts
async,MPI_Igatherv,NO,hard,request handling
general,MPI_Get_address,-,,
status,MPI_Get_count,-,,
status,MPI_Get_elements,-,,
?,MPI_Get_elements_x,NO,?,
osc,MPI_Get,YES,,
osc,MPI_Get_accumulate,NO,easy,translate win and rank
general,MPI_Get_library_version,-,,
general,MPI_Get_processor_name,-,,
general,MPI_Get_version,-,,
topo,MPI_Graph_create,NO,?,
topo,MPI_Graph_get,NO,?,
topo,MPI_Graph_map,NO,?,
topo,MPI_Graph_neighbors_count,NO,?,
topo,MPI_Graph_neighbors,NO,?,
topo,MPI_Graphdims_get,NO,?,
async,MPI_Grequest_complete,NO,medium,request handling
async,MPI_Grequest_start,NO,medium,request handling
general,MPI_Group_c2f,-,,
general,MPI_Group_free,-,,
general,MPI_Group_incl,-,,
general,MPI_Group_intersection,-,,
general,MPI_Group_range_excl,-,,
general,MPI_Group_range_incl,-,,
general,MPI_Group_rank,-,,
general,MPI_Group_size,-,,
general,MPI_Group_translate_ranks,-,,
general,MPI_Group_union,-,,
async,MPI_Ibsend,NO,medium,request handling
async,MPI_Improbe,NO,medium,request handling
async,MPI_Imrecv,NO,medium,request handling
info,MPI_Info_c2f,-,,
info,MPI_Info_create,-,,
info,MPI_Info_delete,-,,
info,MPI_Info_dup,-,,
info,MPI_Info_f2c,-,,
info,MPI_Info_free,-,,
info,MPI_Info_get,-,,
info,MPI_Info_get_nkeys,-,,
info,MPI_Info_get_nthkey,-,,
info,MPI_Info_get_valuelen,-,,
info,MPI_Info_set,-,,
general,MPI_Init,YES,,
general,MPI_Initialized,NO,,
general,MPI_Init_thread,-,,
intercom,MPI_Intercomm_create,?,,
intercom,MPI_Intercomm_merge,?,,
async,MPI_Iprobe,NO,medium,request handling
async,MPI_Irecv,NO,medium,request handling
async,MPI_Irsend,NO,medium,request handling
async,MPI_Isend,NO,medium,request handling
async,MPI_Issend,NO,medium,request handling
general,MPI_Is_thread_main,-,,
general,MPI_Lookup_name,-,,
general,MPI_Message_c2f,-,,
general,MPI_Message_f2c,-,,
ptp,MPI_Mprobe,NO,easy,like probe
ptp,MPI_Mrecv,NO,easy,like Mrecv
topo,MPI_Neighbor_allgather,NO,?,
topo,MPI_Ineighbor_allgather,NO,?,
topo,MPI_Neighbor_allgatherv,NO,?,
topo,MPI_Ineighbor_allgatherv,NO,?,
topo,MPI_Neighbor_alltoall,NO,?,
topo,MPI_Ineighbor_alltoall,NO,?,
topo,MPI_Neighbor_alltoallv,NO,?,
topo,MPI_Ineighbor_alltoallv,NO,?,
topo,MPI_Neighbor_alltoallw,NO,?,
topo,MPI_Ineighbor_alltoallw,NO,?,
general,MPI_Op_c2f,-,,
general,MPI_Op_commutative,-,,
general,MPI_Op_create,-,,
intercom,MPI_Open_port,NO,?,
general,MPI_Op_f2c,-,,
general,MPI_Op_free,-,,
pack,MPI_Pack_external,NO,?,
pack,MPI_Pack_external_size,NO,?,
pack,MPI_Pack,NO,?,
pack,MPI_Pack_size,NO,?,
general,MPI_Pcontrol,-,,
ptp,MPI_Probe,NO,easy,like recv
intercom,MPI_Publish_name,NO,?,
osc,MPI_Put,YES,,
general,MPI_Query_thread,-,,
async,MPI_Raccumulate,NO,medium,request handling
async,MPI_Recv_init,NO,medium,request handling
ptp,MPI_Recv,YES,,
collective,MPI_Reduce,YES,,
async,MPI_Ireduce,NO,medium,request handling
collective,MPI_Reduce_local,NO,easy,like reduce
collective,MPI_Reduce_scatter,NO,easy,reduce + scatter
async,MPI_Ireduce_scatter,NO,medium,request handling
collective,MPI_Reduce_scatter_block,NO,easy,reduce + scatter
async,MPI_Ireduce_scatter_block,NO,medium,request handling
file,MPI_Register_datarep,-,,
general,MPI_Request_c2f,-,,
general,MPI_Request_f2c,-,,
async,MPI_Request_free,NO,medium,request handling
async,MPI_Request_get_status,NO,medium,request handling
async,MPI_Rget,NO,medium,request handling
async,MPI_Rget_accumulate,NO,medium,request handling
async,MPI_Rput,NO,medium,request handling
async,MPI_Rsend,NO,medium,request handling
async,MPI_Rsend_init,NO,medium,request handling
collective,MPI_Scan,NO,easy,like reduce
async,MPI_Iscan,NO,medium,request handling
collective,MPI_Scatter,YES,,
async,MPI_Iscatter,NO,medium,request handling
collective,MPI_Scatterv,NO,hard,analyze vector is complex computationally
async,MPI_Iscatterv,NO,hard,request handling
